Project ID	Project Name	Project Address	Total Units	Affordable Units	Affordable Beds	Project Sponsor	City Analysis Neighborhood	Supervisor District	Project Location	Latitude	Longitude
1995-019	Hazel Betsey	"3554 17th St, San Francisco, CA 94110"	9	9	0	Bernal Heights Housing Corporation	Mission	8	"(37.76334, -122.4251251)"	"37.76334, "	122.4251251)
1995-020	Coventry Place	"1550 Sutter St, San Francisco, CA 94109"	169	34	0	SRG Senior Living	Pacific Heights	5	"(37.7874947, -122.4259644)"	37.7874947	 -122.4259644
1996-004	Britton Courts	"1250 Sunnydale Ave, San Francisco, CA 94134"	92	92	0	Mercy Housing California	Visitacion Valley	10	"(37.7117157, -122.4133606)"	37.7117157	 -122.4133606
1996-005	Heritage Homes	"243 Rey St, San Francisco, CA 94134"	148	146	0	Mercy Housing California	Visitacion Valley	10	"(37.7101173, -122.4124451)"	37.7101173	 -122.4124451
1996-006	Bernal Gateway	"3101 Mission St, San Francisco, CA 94110"	55	55	0	Bernal Heights Neighborhood Center	Bernal Heights	9	"(37.747654, -122.4177399)"	"37.747654,"	-122.4177399)
1996-007	Leland Apartments	"980 Howard St, San Francisco, CA 94103"	24	23	0	TODCO Group	South of Market	6	"(37.7803612, -122.4069824)"	37.7803612	 -122.4069824
1996-008	Cecil Williams Glide Community House	"333 Taylor St, San Francisco, CA 94102"	52	52	0	Glide	Tenderloin	6	"(37.785305, -122.4116135)"	"37.785305,"	-122.4116135)
1996-009	John King Senior Community	"500 Raymond Ave, San Francisco, CA 94134"	91	90	0	Mercy Housing California	McLaren Park	10	"(37.7157059, -122.4123459)"	37.7157059	 -122.4123459
1996-010	The Arc Apartments	"416 Bay St, San Francisco, CA 94133"	8	8	0	The Arc	North Beach	3	"(37.8057899, -122.4139709)"	37.8057899	 -122.4139709
1996-011	Crocker Amazon Senior Apartments	"5199 Mission St, San Francisco, CA 94112"	37	36	0	Bernal Heights Neighborhood Center	Excelsior	11	"(37.7153969, -122.4414444)"	37.7153969	 -122.4414444
1996-012	Presentation Senior Community	"301 Ellis St, San Francisco, CA 94102"	93	92	0	Mercy Housing California	Tenderloin	6	"(37.7847519, -122.411438)"	37.7847519	 -122.411438)
1996-013	Hotel Isabel	"1091-1099 Mission St, San Francisco, CA 94103"	75	73	0	TODCO Group	South of Market	6	"(37.7792091, -122.4105377)"	37.7792091	 -122.4105377
1996-015	1005 Larkin	"1005 Larkin St, San Francisco, CA 94109"	28	21	0	"Chong, Edmond And Mei Wan Chong"	Nob Hill	3	"(37.7872276, -122.4184952)"	37.7872276	 -122.4184952
